Nome,Sobrenome,Data de Nascimento,Idade,Gênero,Curso,Tipo de Logradouro,Logradouro,Número,Cidade,RA,Nota Final,Valor Mensalidade
Claudia,Caldeira,25/06/1984,40,Feminino,Análise e Desenvolvimento de Sistemas,Estrada,Vila Melo,67,São Bernardo do Campo,47899041,0,2100
Lucas,Machado,19/10/1995,28,Masculino,Relações Públicas,Viela,Lagoa de Costa,35,Sorocaba,21586715,3,2500
Luciana,Duarte,22/12/1976,47,Feminino,Administração,Estrada,Praia Vinícius Gomes,5,São Paulo,92514431,0,3700
Carlos,Freitas,07/01/1986,38,Masculino,Ciências Contábeis,Viela,Sítio de Lima,16,Osasco,22610915,6,3300
Rafael,Guerra,30/11/1978,45,Masculino,Ciências Contábeis,Avenida,Pátio Ryan Barbosa,1,Sorocaba,49018153,2,2200
Lucas,Fernandes,10/04/2006,18,Masculino,Ciência da Computação,Avenida,Avenida Lorena Vieira,11,São José dos Campos,39676786,6,2600
Rafael,Siqueira,10/01/2001,23,Masculino,Relações Internacionais,Avenida,Via da Rocha,3,Sorocaba,31981102,3,2600
José,Aparecida,10/11/1969,54,Masculino,Ciências Econômicas,Viela,Largo Casa Grande,66,São José dos Campos,13432047,8,2800
Claudia,da Paz,02/12/1998,25,Feminino,Administração,Avenida,Distrito Vieira,58,Sorocaba,39284675,3,3800
Carlos,Mendonça,20/08/2005,18,Masculino,Publicidade e Propaganda,Alameda,Lago da Conceição,64,Sorocaba,89496709,4,2900
Maria,Pires,01/09/1976,47,Feminino,Relações Públicas,Alameda,Favela Moraes,97,Osasco,30720795,7,3400
Beatriz,Fonseca,01/10/1971,52,Feminino,Ciências Contábeis,Rua,Setor Ana Carolina da Rocha,8,Osasco,29729653,1,4000
Felipe,Siqueira,19/11/2005,18,Masculino,Relações Internacionais,Viela,Quadra de Cirino,7,São José dos Campos,36399754,10,2000
Daniel,Pacheco,05/02/1970,54,Masculino,Ciência de Dados e Inteligência Artificial,Estrada,Trevo de Oliveira,46,Guarulhos,54510193,7,3100
Pedro,Moura,05/10/1997,26,Masculino,Análise e Desenvolvimento de Sistemas,Alameda,Pátio de Gonçalves,35,Santo André,85624097,10,3700
Vanessa,da Mata,14/05/1997,27,Feminino,Relações Internacionais,Rua,Quadra de Casa Grande,8,Santo André,30672055,4,2700
Daniel,Siqueira,24/03/2001,23,Masculino,Análise e Desenvolvimento de Sistemas,Viela,Aeroporto Vasconcelos,17,Santo André,92957056,3,3500
Daniel,Fernandes,27/03/1974,50,Masculino,Ciência da Computação,Avenida,Via de Moreira,2,Campinas,10706929,0,2600
Camila,Moraes,22/03/1986,38,Feminino,Administração,Alameda,Ladeira Hellena Porto,33,Santo André,60818296,0,2400
Beatriz,Dias,11/03/1980,44,Feminino,Secretariado,Viela,Chácara Heitor Freitas,61,São Bernardo do Campo,98994970,3,3500
Lucas,das Neves,15/08/1977,46,Masculino,Publicidade e Propaganda,Avenida,Favela de Moreira,44,São José dos Campos,60933663,7,2300
Gabriel,Nascimento,11/01/1977,47,Masculino,Ciências Econômicas,Avenida,Aeroporto Aparecida,2,Ribeirão Preto,43849732,10,2000
Carlos,Porto,05/05/1969,55,Masculino,Ciência da Computação,Alameda,Recanto Nicole Nogueira,7,São Paulo,07495373,0,3800
José,Cavalcanti,02/01/2005,19,Masculino,Secretariado,Alameda,Rodovia Júlia Viana,27,São José dos Campos,69323756,2,2900
Juliana,Jesus,08/02/1982,42,Feminino,Ciências Econômicas,Viela,Via Pastor,89,Mauá,49362537,10,3500
Maria,Guerra,02/12/1985,38,Feminino,Administração,Rua,Setor Lima,6,São Paulo,33529514,3,3600
João,Camargo,17/04/1977,47,Masculino,Ciências Econômicas,Rua,Travessa Ana Clara Moreira,381,Osasco,61164213,0,2100
João,da Cunha,02/07/1965,59,Masculino,Publicidade e Propaganda,Avenida,Favela Caroline Rezende,1,Guarulhos,04583967,4,3800
Carlos,Ferreira,31/08/1994,29,Masculino,Relações Públicas,Viela,Morro de Macedo,7,Campinas,97812863,3,4000
Lucas,da Luz,26/04/1995,29,Masculino,Relações Públicas,Alameda,Avenida de Fogaça,1,Guarulhos,51020556,1,3800
Camila,da Rosa,26/11/1974,49,Feminino,Publicidade e Propaganda,Avenida,Avenida Francisco Mendes,95,Sorocaba,44206909,8,3200
Beatriz,Nogueira,04/03/1970,54,Feminino,Análise e Desenvolvimento de Sistemas,Estrada,Sítio Luiz Henrique da Rosa,324,São Bernardo do Campo,05640517,10,2100
Fernanda,Barbosa,15/11/1988,35,Feminino,Secretariado,Estrada,Vale de Ramos,890,Sorocaba,73408143,6,4000
Juliana,Machado,05/03/2004,20,Feminino,Ciência de Dados e Inteligência Artificial,Alameda,Viela Ana Júlia Brito,13,Mauá,84628941,4,3600
Mateus,Cavalcante,08/09/1980,43,Masculino,Relações Públicas,Alameda,Rodovia Caldeira,86,Ribeirão Preto,78307545,1,3100
Felipe,Camargo,02/06/1978,46,Masculino,Relações Internacionais,Viela,Sítio Fernando Souza,2,São Bernardo do Campo,48438701,4,3200
Carlos,da Paz,14/10/1963,60,Masculino,Ciência de Dados e Inteligência Artificial,Rua,Praia Pastor,33,Guarulhos,56957997,2,3600
José,Abreu,17/06/1980,44,Masculino,Ciências Contábeis,Rua,Esplanada Costa,11,Ribeirão Preto,71111354,4,3400
Felipe,Fernandes,23/10/1967,56,Masculino,Publicidade e Propaganda,Rua,Núcleo de Viana,878,Mauá,34862788,5,3300
José,Costa,01/09/1984,39,Masculino,Ciência de Dados e Inteligência Artificial,Estrada,Viela de Leão,801,São José dos Campos,65071188,2,3300
Gabriel,Novaes,04/03/1989,35,Masculino,Análise e Desenvolvimento de Sistemas,Viela,Pátio de da Conceição,728,Sorocaba,42257179,5,2900
Felipe,Silveira,12/11/1980,43,Masculino,Ciência de Dados e Inteligência Artificial,Alameda,Morro Carvalho,83,Santo André,84152798,10,2200
João,Cassiano,04/09/1963,60,Masculino,Ciências Econômicas,Avenida,Quadra de Costela,18,São Bernardo do Campo,55737335,6,3000
Rafael,Melo,18/01/2005,19,Masculino,Relações Internacionais,Viela,Viela Luiza Sampaio,77,Santo André,95769447,3,2300
Gabriel,Alves,16/01/1997,27,Masculino,Publicidade e Propaganda,Rua,Trevo Luísa Cavalcanti,32,São José dos Campos,58787550,9,3400
Beatriz,Pacheco,23/08/1964,59,Feminino,Publicidade e Propaganda,Alameda,Via Siqueira,63,São José dos Campos,30049402,4,3200
Claudia,da Cunha,30/03/1972,52,Feminino,Ciência da Computação,Viela,Setor de Ramos,99,Guarulhos,44370676,3,3000
Carlos,Aragão,30/05/1995,29,Masculino,Relações Internacionais,Rua,Pátio de Abreu,92,São José dos Campos,27418333,6,2900
Fernanda,Vasconcelos,18/12/1967,56,Feminino,Relações Públicas,Avenida,Campo Ana Carolina Cardoso,11,Sorocaba,72994631,4,4000
Luciana,Rios,24/09/1975,48,Feminino,Ciência da Computação,Rua,Passarela Leão,7,Osasco,76802682,10,3800
Patrícia,Moura,02/06/1993,31,Feminino,Publicidade e Propaganda,Estrada,Lagoa Maria Clara Ribeiro,860,São Bernardo do Campo,66016839,8,3200
Vanessa,Moura,09/05/1984,40,Feminino,Secretariado,Estrada,Quadra Almeida,39,Ribeirão Preto,94653220,10,2000
Pedro,das Neves,09/06/1997,27,Masculino,Ciências Contábeis,Rua,Chácara de Lima,38,São Paulo,72160738,6,3700
José,Guerra,21/07/1975,49,Masculino,Secretariado,Viela,Viaduto Gonçalves,40,Guarulhos,55969832,10,2100
Camila,Cavalcanti,29/07/1967,57,Feminino,Secretariado,Viela,Ladeira de Porto,55,Mauá,86447798,7,3700
José,da Conceição,17/05/1971,53,Masculino,Análise e Desenvolvimento de Sistemas,Estrada,Trevo Rodrigo Moreira,9,Santo André,58087644,5,2700
Vanessa,Moraes,01/06/1996,28,Feminino,Relações Internacionais,Avenida,Via Nogueira,61,Mauá,76386093,8,3400
Juliana,Gomes,08/08/1986,38,Feminino,Secretariado,Rua,Residencial Duarte,1,São Bernardo do Campo,06523912,4,3800
João,Pires,15/06/2005,19,Masculino,Administração,Estrada,Rua Melo,62,Osasco,48240616,3,2300
José,Teixeira,10/05/1987,37,Masculino,Ciências Econômicas,Viela,Rua Almeida,29,São José dos Campos,40745167,10,4000
Beatriz,Novais,09/08/1989,35,Feminino,Ciências Contábeis,Viela,Feira de Novaes,2,São Paulo,68336149,1,3600
Fernanda,Duarte,12/10/1982,41,Feminino,Relações Públicas,Rua,Núcleo Brenda Pires,1,São José dos Campos,19485334,3,4000
Camila,Aragão,08/05/1979,45,Feminino,Relações Internacionais,Rua,Lagoa de Abreu,55,Sorocaba,61817767,9,2400
Beatriz,Brito,13/09/2000,23,Feminino,Análise e Desenvolvimento de Sistemas,Avenida,Recanto de Peixoto,361,São José dos Campos,79735553,6,3500
Claudia,Monteiro,29/10/1998,25,Feminino,Administração,Rua,Conjunto Maya da Cruz,578,Guarulhos,49711438,9,2100
Ana,Melo,21/12/1992,31,Feminino,Ciências Econômicas,Alameda,Campo de Castro,156,Sorocaba,91265471,6,3700
Carlos,Gonçalves,08/10/1997,26,Masculino,Ciências Contábeis,Viela,Viaduto de Farias,40,Campinas,85658282,9,2200
Patrícia,Teixeira,23/10/1963,60,Feminino,Publicidade e Propaganda,Avenida,Viaduto Macedo,62,Osasco,09205018,5,2600
Lucas,Carvalho,04/11/1995,28,Masculino,Ciências Contábeis,Rua,Lagoa de Pinto,9,Campinas,90820339,5,3400
Camila,Duarte,25/02/1970,54,Feminino,Administração,Viela,Praia de Fonseca,1,Sorocaba,25478621,6,2700
Vanessa,Novais,20/01/1994,30,Feminino,Publicidade e Propaganda,Viela,Vale de das Neves,42,São Bernardo do Campo,13729926,8,3500
Maria,Campos,07/03/1975,49,Feminino,Publicidade e Propaganda,Viela,Trevo Guilherme Pereira,3,Santo André,27604942,8,2700
Juliana,Almeida,12/05/1984,40,Feminino,Relações Públicas,Rua,Residencial Garcia,72,Campinas,50372451,7,2300
José,Farias,04/10/1970,53,Masculino,Relações Internacionais,Alameda,Estrada Ayla Cavalcanti,11,Santo André,33145849,6,2700
Patrícia,Rodrigues,31/03/1975,49,Feminino,Relações Internacionais,Avenida,Pátio Peixoto,371,Ribeirão Preto,75738028,6,2400
Felipe,Pimenta,05/07/2001,23,Masculino,Relações Públicas,Avenida,Rodovia Jade Jesus,14,Sorocaba,12654128,4,3300
Gabriel,Novaes,19/07/1987,37,Masculino,Secretariado,Estrada,Via Rocha,73,Mauá,81467604,8,2300
Luciana,Peixoto,10/06/1996,28,Feminino,Secretariado,Alameda,Praça Ryan Garcia,69,Mauá,42657096,10,3700
Vanessa,Moraes,06/03/2000,24,Feminino,Ciência da Computação,Rua,Residencial de Pastor,7,São José dos Campos,50247635,8,2100
Luciana,Novaes,25/12/1968,55,Feminino,Publicidade e Propaganda,Avenida,Trevo Davi Lucca Camargo,18,Campinas,92770782,9,3400
Rafael,Sá,22/11/1965,58,Masculino,Relações Internacionais,Alameda,Praia de Pires,9,Osasco,00362851,9,3000
Vanessa,Moraes,13/03/1976,48,Feminino,Publicidade e Propaganda,Estrada,Área de Pires,32,Mauá,53022741,1,3700
Rafael,Rezende,30/11/1977,46,Masculino,Ciências Econômicas,Estrada,Trevo Ana Liz Cunha,17,Campinas,70123235,1,3500
Gabriel,Peixoto,01/09/1997,26,Masculino,Relações Públicas,Estrada,Aeroporto Calebe Santos,80,Guarulhos,05496468,7,2200
Patrícia,Oliveira,22/04/2000,24,Feminino,Secretariado,Estrada,Sítio Fernandes,29,São José dos Campos,29903272,7,3100
Patrícia,Mendonça,08/11/1976,47,Feminino,Administração,Viela,Área Lucas Gabriel Leão,8,Osasco,45677349,1,2800
João,Sousa,24/10/1973,50,Masculino,Ciências Econômicas,Estrada,Estrada Mendonça,301,Santo André,58879720,0,4000
Claudia,Santos,04/09/2005,18,Feminino,Ciência de Dados e Inteligência Artificial,Viela,Rua de das Neves,11,Guarulhos,79436534,1,2400
Juliana,Pires,01/05/1997,27,Feminino,Ciências Contábeis,Viela,Viela Teixeira,229,Osasco,48002274,0,3300
Vanessa,Freitas,22/12/1972,51,Feminino,Ciências Contábeis,Rua,Área de Fonseca,60,Osasco,84190360,3,2500
Vanessa,Almeida,07/11/1977,46,Feminino,Análise e Desenvolvimento de Sistemas,Viela,Lago Cirino,996,Guarulhos,30695598,10,3900
Patrícia,Sales,20/03/1986,38,Feminino,Administração,Alameda,Sítio de Guerra,38,Campinas,84554901,2,3300
Vanessa,Sá,24/10/1969,54,Feminino,Relações Internacionais,Viela,Viela de Fernandes,739,São José dos Campos,27451304,6,2800
Juliana,Borges,11/05/1998,26,Feminino,Análise e Desenvolvimento de Sistemas,Alameda,Esplanada de Melo,7,Santo André,29444095,8,3500
Claudia,Novaes,05/03/1967,57,Feminino,Ciências Contábeis,Avenida,Trevo Pietra Oliveira,31,São Paulo,51968505,7,4000
Daniel,Ribeiro,22/10/1965,58,Masculino,Análise e Desenvolvimento de Sistemas,Viela,Passarela Luiz Miguel Câmara,70,Osasco,49864344,1,3500
Pedro,Castro,22/05/1999,25,Masculino,Secretariado,Avenida,Jardim de Albuquerque,49,Santo André,96182195,2,2000
Patrícia,Pereira,09/05/1984,40,Feminino,Ciência da Computação,Viela,Avenida Eduardo da Paz,242,Campinas,98378654,9,3800
Claudia,Carvalho,27/04/2006,18,Feminino,Ciência da Computação,Viela,Aeroporto Josué Mendes,254,Santo André,83771814,4,3800
Pedro,Silva,05/07/1979,45,Masculino,Relações Internacionais,Viela,Parque Novais,79,Sorocaba,71520543,10,2300
João,Rodrigues,23/05/1971,53,Masculino,Ciência da Computação,Alameda,Setor Maria Flor Novaes,774,Campinas,92407702,9,3200
Felipe,Pires,30/04/1973,51,Masculino,Ciências Contábeis,Avenida,Condomínio Oliver Pires,81,Ribeirão Preto,87170697,3,3400
Juliana,da Mota,26/11/1969,54,Feminino,Ciências Contábeis,Rua,Recanto Yasmin Novaes,659,Ribeirão Preto,56992290,10,2900
Patrícia,Garcia,24/08/1982,41,Feminino,Administração,Rua,Jardim de Melo,8,Guarulhos,32610611,2,2400
Pedro,Sales,01/08/1999,25,Masculino,Análise e Desenvolvimento de Sistemas,Avenida,Residencial Luigi da Cruz,86,Campinas,08851123,3,3300
Patrícia,Araújo,08/03/1983,41,Feminino,Administração,Estrada,Colônia Leão,58,Campinas,69156605,2,2200
Ana,Andrade,29/07/1978,46,Feminino,Publicidade e Propaganda,Avenida,Vila Rezende,33,Mauá,77837318,5,3600
Vanessa,Rodrigues,03/10/2001,22,Feminino,Ciências Econômicas,Estrada,Travessa Martins,3,São José dos Campos,46646182,9,4000
Beatriz,Sales,06/12/1974,49,Feminino,Secretariado,Alameda,Residencial Vasconcelos,64,Sorocaba,41592072,2,3000
Pedro,Costela,13/06/1983,41,Masculino,Publicidade e Propaganda,Rua,Jardim de Nascimento,29,Ribeirão Preto,31042068,2,3900
Vanessa,Duarte,27/07/1977,47,Feminino,Relações Internacionais,Viela,Travessa Montenegro,56,Campinas,51898976,1,2700
Claudia,da Cruz,01/06/2002,22,Feminino,Ciência de Dados e Inteligência Artificial,Estrada,Feira de Carvalho,27,Campinas,39045316,1,2400
Daniel,Cunha,10/08/1977,47,Masculino,Ciências Contábeis,Viela,Pátio Mendes,24,Campinas,85179002,1,2400
João,Lopes,20/04/1981,43,Masculino,Ciências Contábeis,Rua,Conjunto de Martins,39,São Paulo,50988224,7,3200
Fernanda,Souza,20/03/1970,54,Feminino,Publicidade e Propaganda,Rua,Loteamento Monteiro,718,São Paulo,97421092,8,4000
Pedro,Nogueira,04/07/1972,52,Masculino,Secretariado,Viela,Jardim da Paz,99,Santo André,28520185,5,3800
Beatriz,Macedo,16/04/2002,22,Feminino,Análise e Desenvolvimento de Sistemas,Avenida,Sítio da Conceição,8,Guarulhos,97507286,3,3400
Vanessa,Ramos,05/04/1991,33,Feminino,Análise e Desenvolvimento de Sistemas,Estrada,Travessa Alana Campos,25,Guarulhos,95935872,7,2500
Fernanda,Pinto,25/09/1990,33,Feminino,Ciências Contábeis,Estrada,Esplanada Thales da Costa,91,Sorocaba,56154589,9,2500
José,da Costa,02/05/1966,58,Masculino,Ciências Econômicas,Avenida,Distrito Bryan Campos,96,Sorocaba,16955451,3,3700
José,Aparecida,06/12/1981,42,Masculino,Ciências Econômicas,Alameda,Colônia de Alves,98,São Paulo,86318982,6,3700
Beatriz,da Rosa,01/03/1973,51,Feminino,Secretariado,Avenida,Núcleo Cardoso,353,São José dos Campos,29303527,5,2600
Fernanda,das Neves,22/02/1980,44,Feminino,Ciência da Computação,Estrada,Núcleo Asafe da Cruz,219,Guarulhos,41386836,4,2600
Patrícia,Novais,21/11/1980,43,Feminino,Administração,Rua,Viela da Rocha,611,São Paulo,44477644,9,3000
Maria,Casa Grande,08/09/1984,39,Feminino,Secretariado,Avenida,Esplanada Fonseca,56,São Paulo,50868197,8,3000
Claudia,Jesus,31/12/1971,52,Feminino,Relações Públicas,Alameda,Jardim de Barros,57,São Bernardo do Campo,69528861,2,3900
Beatriz,da Mota,18/04/1971,53,Feminino,Ciência da Computação,Alameda,Travessa de Cirino,83,São Paulo,25412091,5,2800
Rafael,Oliveira,10/03/2004,20,Masculino,Secretariado,Avenida,Feira Machado,45,Campinas,73789776,4,3000
José,Machado,09/08/1966,58,Masculino,Ciência de Dados e Inteligência Artificial,Alameda,Viela Ana Luiza Martins,422,Osasco,39858412,6,2400
Luciana,Silva,24/08/1983,40,Feminino,Secretariado,Avenida,Residencial de Rezende,1,Mauá,23858648,9,3700
João,Martins,22/12/1977,46,Masculino,Relações Internacionais,Rua,Passarela Aparecida,45,São José dos Campos,77778183,6,3900
Juliana,Rezende,16/12/1995,28,Feminino,Ciências Contábeis,Estrada,Sítio Fernandes,5,Ribeirão Preto,67822967,2,3300
Gabriel,Cirino,15/04/1994,30,Masculino,Secretariado,Alameda,Jardim Dom Teixeira,56,São Bernardo do Campo,83033028,0,3900
Maria,Brito,30/01/1995,29,Feminino,Secretariado,Estrada,Núcleo de Alves,7,Campinas,37682087,2,2500
Fernanda,Lopes,05/08/1979,45,Feminino,Relações Internacionais,Avenida,Quadra de Camargo,96,Sorocaba,55703796,9,2200
José,Rezende,21/04/1991,33,Masculino,Análise e Desenvolvimento de Sistemas,Rua,Lago Nunes,545,Osasco,16246528,6,2200
Carlos,Cirino,05/05/2002,22,Masculino,Secretariado,Rua,Vereda de Porto,1,Mauá,76381657,9,2800
José,Sampaio,13/04/1966,58,Masculino,Ciência da Computação,Viela,Condomínio de Novais,4,Mauá,53517452,7,3600
Rafael,Novaes,22/09/1998,25,Masculino,Administração,Estrada,Pátio de Oliveira,14,Osasco,12672470,9,3700
Fernanda,Jesus,24/10/1989,34,Feminino,Relações Públicas,Viela,Conjunto João Gabriel Siqueira,86,São Bernardo do Campo,81811030,1,3500
Daniel,Abreu,24/02/1995,29,Masculino,Relações Públicas,Viela,Lago Heitor Santos,66,Guarulhos,38958135,1,2500
Felipe,Cirino,16/09/2005,18,Masculino,Relações Internacionais,Estrada,Campo Barbosa,14,Campinas,17689256,1,2700
Luciana,Barros,27/08/1988,35,Feminino,Análise e Desenvolvimento de Sistemas,Viela,Morro Manuella Freitas,58,Santo André,33259251,9,3500
João,da Mota,24/08/1979,44,Masculino,Administração,Avenida,Conjunto de Costa,16,Osasco,86750355,0,2400
Rafael,Moura,27/06/2004,20,Masculino,Administração,Estrada,Chácara Nunes,605,Sorocaba,13903119,9,3500
Carlos,Albuquerque,01/08/1979,45,Masculino,Ciência da Computação,Rua,Jardim de da Rocha,341,Sorocaba,83585499,0,4000
Ana,Guerra,19/01/1990,34,Feminino,Administração,Avenida,Vila de Almeida,52,Ribeirão Preto,16601086,3,2600
José,Moraes,30/08/1993,30,Masculino,Relações Públicas,Viela,Lagoa Lopes,879,São Bernardo do Campo,99962024,6,2000
Rafael,Montenegro,14/12/1966,57,Masculino,Publicidade e Propaganda,Viela,Condomínio Marcos Vinicius da Cunha,248,Mauá,24502085,8,3800
Lucas,Montenegro,23/01/1972,52,Masculino,Ciências Econômicas,Rua,Pátio Maria Eduarda Vargas,10,Ribeirão Preto,22888185,7,2600
Rafael,Azevedo,03/07/1990,34,Masculino,Análise e Desenvolvimento de Sistemas,Alameda,Vereda de Cavalcanti,97,Campinas,72865562,3,2400
Felipe,Marques,25/07/1980,44,Masculino,Análise e Desenvolvimento de Sistemas,Viela,Passarela Mendonça,20,Santo André,03592868,10,3900
Claudia,Sampaio,10/03/1978,46,Feminino,Ciências Contábeis,Alameda,Favela Natália Almeida,784,Ribeirão Preto,57228086,8,3300
Daniel,Novais,21/07/1965,59,Masculino,Ciência da Computação,Alameda,Ladeira Theodoro Brito,70,São Paulo,52563416,7,3500
Felipe,Melo,21/04/1964,60,Masculino,Administração,Viela,Largo Machado,88,São José dos Campos,29037557,5,3900
Daniel,Azevedo,22/01/1969,55,Masculino,Secretariado,Alameda,Estação da Costa,2,São José dos Campos,49303475,9,4000
Gabriel,Vargas,07/02/1979,45,Masculino,Relações Internacionais,Rua,Morro de Martins,3,São José dos Campos,40010143,1,3700
Vanessa,Porto,04/03/2000,24,Feminino,Administração,Rua,Via de Almeida,14,São Paulo,99760801,5,4000
Rafael,Oliveira,02/04/1968,56,Masculino,Ciências Econômicas,Rua,Parque Maria Flor Sá,77,Guarulhos,17516120,2,2600
Ana,Sampaio,01/08/1998,26,Feminino,Secretariado,Alameda,Avenida Luiz Henrique Melo,649,Guarulhos,67320074,2,2700
Carlos,Novais,12/08/2001,22,Masculino,Análise e Desenvolvimento de Sistemas,Rua,Vila Vitor Gabriel da Mata,3,Ribeirão Preto,28788806,0,3400
Patrícia,Fogaça,27/07/1978,46,Feminino,Ciência da Computação,Viela,Avenida Isabela Teixeira,3,Osasco,26233197,8,3600
Lucas,Moura,08/11/1985,38,Masculino,Análise e Desenvolvimento de Sistemas,Viela,Loteamento de Ferreira,587,Mauá,75904589,4,3700
Felipe,Teixeira,22/08/1971,52,Masculino,Ciências Econômicas,Alameda,Estação de Mendonça,97,Santo André,97542685,6,2000
Mateus,Castro,10/03/1998,26,Masculino,Publicidade e Propaganda,Estrada,Área Maria Sophia Rios,8,São Bernardo do Campo,79908152,5,2800
João,da Costa,09/03/1999,25,Masculino,Ciência da Computação,Alameda,Colônia de Marques,1,Campinas,33877977,3,3700
Pedro,Silva,21/11/1981,42,Masculino,Administração,Alameda,Praia Ramos,1,Santo André,35850475,8,3900
Fernanda,Guerra,01/08/1975,49,Feminino,Ciências Econômicas,Rua,Jardim de Moura,28,São Paulo,04419479,8,3600
Vanessa,Caldeira,13/06/1998,26,Feminino,Publicidade e Propaganda,Viela,Viaduto Mendes,48,Guarulhos,05916953,5,3600
Felipe,da Cunha,07/01/1983,41,Masculino,Análise e Desenvolvimento de Sistemas,Avenida,Morro de Monteiro,95,Mauá,25205838,4,3600
Fernanda,Montenegro,13/01/1980,44,Feminino,Ciência da Computação,Alameda,Avenida Larissa da Mota,89,Mauá,52883532,5,3500
Maria,Moraes,15/11/1990,33,Feminino,Ciências Contábeis,Viela,Lagoa Ísis Machado,7,Santo André,64415737,6,3500
Rafael,Pacheco,16/08/1980,43,Masculino,Análise e Desenvolvimento de Sistemas,Viela,Viela Davi Camargo,98,Osasco,95412995,9,4000
Patrícia,Camargo,07/09/1969,54,Feminino,Relações Públicas,Avenida,Esplanada Beatriz Viana,84,Ribeirão Preto,61249984,8,2700
Lucas,Correia,14/08/1981,42,Masculino,Ciências Econômicas,Alameda,Condomínio Nogueira,9,São Paulo,52542458,2,2500
José,Aragão,25/10/1987,36,Masculino,Publicidade e Propaganda,Viela,Núcleo Campos,78,Mauá,32415770,6,2000
Beatriz,Sales,25/02/1990,34,Feminino,Relações Públicas,Estrada,Praia Pereira,88,Mauá,78939208,7,2300
Vanessa,Azevedo,14/06/1965,59,Feminino,Administração,Avenida,Aeroporto Sabrina Almeida,4,Santo André,17805182,7,2900
José,Alves,27/05/2003,21,Masculino,Ciência de Dados e Inteligência Artificial,Alameda,Conjunto Maria Eduarda Lopes,8,São Paulo,55412935,5,2200
Claudia,Moraes,20/11/1979,44,Feminino,Ciências Contábeis,Viela,Ladeira Pedro Miguel Machado,93,Guarulhos,43662451,0,2500
Daniel,Casa Grande,06/12/1984,39,Masculino,Administração,Rua,Chácara Sabrina Aragão,36,Osasco,09965209,4,3600
Carlos,Gomes,26/03/2004,20,Masculino,Análise e Desenvolvimento de Sistemas,Viela,Estação Sampaio,3,São Bernardo do Campo,07451954,7,2300
Maria,Melo,17/08/1989,34,Feminino,Relações Públicas,Alameda,Rodovia Sá,56,Ribeirão Preto,29108649,6,2300
Juliana,Nascimento,03/11/1981,42,Feminino,Relações Internacionais,Viela,Morro Silveira,7,Campinas,80007377,6,2400
Claudia,Correia,29/04/1982,42,Feminino,Ciências Econômicas,Rua,Chácara Pastor,443,Sorocaba,60670715,4,2000
